id,slug,title,year,cns_rating,mpaa_rating,synopsis,full_review,letter,source_file,is_redirect
32,absolution,Absolution,1988,O,R,"A priest (Richard Burton) at a British Catholic boys school is driven to commit a grisly murder after his teenage protege (Dominic Guard) torments the priest in confession with lies about sexual trysts and murder. Director Anthony Page invests the scenario with a promise of menace never fulfilled by screenwriter Anthony Shaffer. Remorseless, gruesome murders and some profanity",,a,a/absolution.shtml,0
33,accepted,Accepted,2006,L,PG-13,"Comedy about a savvy slacker (Justin Long) who, rejected by every college to which he applied, comes up with a face-saving scheme to create a fake school out of an abandoned hospital, which snowballs out of control when a motley mob of other misfits show up on the school's doorstep with acceptance letters. Displaying only occasional wit amid a ""coarse"" load of mindless humor, director Steve Pink's farce stealthily wraps its subversive nonconformity message in lighthearted, if lowbrow, satire that would seem to extol benign themes of acceptance and self-expression. Recurring crude sexual language and humor, including vulgar sight gags and innuendo, drug content, skimpy bikinis, some profanity and a use of the f-word","If a movie could earn a college degree, the campus comedy ""Accepted"" (Universal) would graduate summa cum lousy.

Justin Long plays high school senior Bartleby ""B"" Gaines, a savvy slacker who, rejected by every school to which he applied, saves face by creating a fake college, forging an acceptance letter, a Web site and -- with the help of some friends (Jonah Hill, Columbus Short, Maria Thayer and Adam Herschman) -- transforming an abandoned hospital into a college campus.

His gullible parents (Mark Derwin and Ann Cusack) don't ask too many questions. They just write him a check for tuition and drop him off at his new ""dorm."" When they request a meeting with the school's dean, Bartleby recruits his buddy's iconoclast Uncle Ben (Lewis Black) to play the part.

The scheme snowballs out of control and a mob of self-described rejects and misfits shows up on the school's doorstep, testing even Bartleby's talent for thinking fast.

The semester plays out like one big poolside keg party. (Tuition is $10,000 a head, which Bartleby uses to buy booze and video games.)",a,a/accepted.shtml,0
34,accident,Accident,1967,A-III,,"Cryptic Harold Pinter script begins with an auto crash killing the young man engaged to an Oxford coed, after which the events and forces contributing to the ""accident"" are presented in flashback, including the rivalry of two dons for the woman student's affection. Director Joseph Losey and an excellent cast use the sparse dialogue and strained situations to give clues to the violence developing beneath the tranquil surface of academic life. Adult situation and treatment",,a,a/accident.shtml,0
35,accusedofmurder,Accused of Murder,1956,A-II,,Routine crime story directed by Joe Kane in which a police detective (David Brian) falls for a blonde singer (Vera Ralston) whom his partner (Lee Van Cleef) suspects murdered a shady lawyer (Sidney Blackmer). Stylized violence and romantic complications,,a,a/accusedofmurder.shtml,0
36,aceeliandrodgeroftheskies,Ace Eli and Rodger of the Skies,1973,A-III,PG,"Cliff Robertson and Eric Shea play a father-son team of Kansas barnstormers in the early 1920s who are flying away from the tragic death of the woman in their life. For Eli, his wife's death triggers a streak of womanizing while for his 11-year-old son, the loss of a mother brings out a raunchy maturity and wisdom far surpassing that of his father but also the search for a new mother-figure. Director Bill Sampson's failed drama is a confusing and confused, large1y unmotivated, concoction of scenes alternately nostalgic, crude, cruel, near-perverse and sappy",,a,a/aceeliandrodgeroftheskies.shtml,0
37,acehigh,Ace High,1969,A-II,M,"Revenge with a humorous twist is the theme of this low-budget Italian Western starring Eli Wallach as a bug-ridden, baby-sitting Greek bandit. Director Giuseppe Colizzi's action is slapdash but unflagging enough to compensate for rough dubbing, poor color and ragged editing. Stylized violence",,a,a/acehigh.shtml,0
38,aceinthehole,Ace in the Hole,1951,A-II,,"Cynical reporter (Kirk Douglas) parlays the local story of a man trapped in a New Mexico cave into a national news event by getting a corrupt sheriff to delay the weakening victim's rescue for a week. Director Billy Wilder's dark study of media manipulation and the public's appetite for sensationalism has few characters with any integrity, save the reporter's editor (Porter Hall), the tragic victim and his devoted parents. Continuing menace and unsavory characters",,a,a/aceinthehole.shtml,0
39,aceshigh,Aces High,1976,A-III,PG,"World War I tale of the Royal Flying Corps as an idealistic English youth (Peter Firth) arrives in 1917 France at an airbase whose hardened commander (Malcolm McDowell) is sick of sending young pilots to their death. Directed by Jack Gold, the British production pays close attention to period details and stages numerous dogfights between vintage biplanes, but the picture's anti-war perspective and stereotyped characters are too familiar to make any fresh impression of their own. Wartime violence, sexual situations and innuendo, fleeting nude photos and occasional profanity",,a,a/aceshigh.shtml,0
40,acesironeagleiii,Aces: Iron Eagle III,1992,A-III,R,"Action-packed sequel follows former World War II fighter pilots (Louis Gossett, Jr., Horst Buchholz, Sonny Chiba and Christopher Cazenove) to Peru where they intend to blow up a cocaine factory with souped-up vintage aircraft. John Glen directs a predictable shoot-'em-up whose comic overtones make the violent outbursts and characters seem cartoonish. Recurring violence",,a,a/acesironeagleiii.shtml,0
41,aceventurapetdetective,Ace Ventura: Pet Detective,1994,O,PG-13,"Deadening comedy in which a nerdy gumshoe (Jim Carrey) gets involved sexually with two women (Courtney Cox and Sean Young) while attempting to rescue kidnapped Miami Dolphins quarterback Dan Marino and the team mascot on the eve of the Super Bowl. Tom Shadyac directs what is little more than an obnoxious parade of scatological jokes, demeaning sexist remarks and mindless violence. Realistic brutality played for laughs, some bedroom scenes, brief nudity and occasional profanity",,a,a/aceventurapetdetective.shtml,0
